Departamento,Conteo,Poblacion,Proporcion
CUNDINAMARCA,43682,10985285,0.3976410261545331
ANTIOQUIA,21092,6691030,0.3152279992766435
VALLE,14672,4756113,0.30848720373128224
SANTANDER,8468,2090839,0.40500488081578734
ATLÁNTICO,6722,2545924,0.26402987677558326
TOLIMA,5421,1419947,0.3817748127218833
NARIÑO,4827,1809116,0.2668153949221609
META,4417,1016701,0.434444344994251
CAUCA,3432,1415933,0.24238435010696127
HUILA,3412,1197081,0.2850266606854507
RISARALDA,3163,967767,0.3268348683102441
BOLÍVAR,2970,2171280,0.13678567480932907
NORTE DE SANTANDER,2844,1391239,0.20442210145057751
CALDAS,2634,993866,0.26502566744410216
SUCRE,2455,877057,0.2799133921740548
BOYACÁ,2392,1282063,0.18657429471094633
CESAR,2239,1065673,0.21010197311933398
QUINDÍO,2232,575010,0.3881671623102207
CÓRDOBA,1923,1788507,0.10751984756000396
MAGDALENA,1793,1298691,0.13806209483241202
GUAJIRA,1068,1040157,0.1026768074434917
CAQUETÁ,1023,496241,0.20614983445543597
CASANARE,924,375249,0.24623649896468744
CHOCÓ,817,515145,0.15859612342156093
SAN ANDRÉS,449,78413,0.5726091336895668
ARAUCA,375,270708,0.1385256438671927
PUTUMAYO,301,358896,0.08386830725335473
AMAZONAS,137,78830,0.17379170366611696
GUAVIARE,84,115829,0.07252069861606333
VICHADA,59,77276,0.07634970754179823
GUAINÍA,33,43446,0.07595635961883718
VAUPÉS,8,44928,0.017806267806267807
